trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-156.60271849423293,"{0: 10, 1: 4, 2: 3, 3: 0, 4: 3}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",30,0,-28.602946145961997,"{0: 22, 1: 6, 2: 2, 3: 0, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,0,-197.7279196992199,"{0: 11, 1: 4, 2: 5, 3: 3, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",30,0,-155.00456580995854,"{0: 17, 1: 3, 2: 6, 3: 3, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-73.69994725123999,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",35,0,-179.6535058966625,"{0: 22, 1: 3, 2: 5, 3: 3, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,0,-134.20536152486906,"{0: 15, 1: 4, 2: 3, 3: 1, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-22.43441043316844,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",30,0,-94.31881913107212,"{0: 20, 1: 1, 2: 7, 3: 2, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,5,-54.089630156005505,"{0: 10, 1: 2, 2: 2, 3: 0, 4: 1}",1
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,0,-68.0597970090357,"{0: 20, 1: 0, 2: 3, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,-16.06814526341929,"{0: 16, 1: 3, 2: 0, 3: 1, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",30,0,-37.326610823021895,"{0: 26, 1: 0, 2: 3, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,0,-85.11244119543709,"{0: 20, 1: 1, 2: 2, 3: 0, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,0,-150.8450582319718,"{0: 17, 1: 0, 2: 3, 3: 3, 4: 2}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,6,21.58716707981686,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",30,11,18.248103831024302,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,0,-18.70902949448414,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,0,18.22411952304589,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,0,-34.97635346779759,"{0: 23, 1: 0, 2: 0, 3: 1, 4: 1}",0
1,True,"{'a': 0, 'e': 0}",20,14,8.405166032682883,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",20,0,-138.2988880804727,"{0: 15, 1: 0, 2: 1, 3: 1, 4: 3}",0
3,True,"{'a': 0, 'e': 0}",20,14,9.552652066595073,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",20,0,-28.596199465741968,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
5,True,"{'a': 0, 'e': 0}",30,0,-51.56996940458569,"{0: 23, 1: 2, 2: 3, 3: 2, 4: 0}",0
6,True,"{'a': 0, 'e': 0}",25,0,-79.7655727437167,"{0: 19, 1: 2, 2: 1, 3: 2, 4: 1}",0
7,True,"{'a': 0, 'e': 0}",35,14,-2.014908150423711,"{0: 19, 1: 0, 2: 1, 3: 1, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",25,0,-70.19747815383401,"{0: 20, 1: 0, 2: 3, 3: 1, 4: 1}",0
9,True,"{'a': 0, 'e': 0}",20,0,-115.72531329174984,"{0: 12, 1: 2, 2: 2, 3: 3, 4: 1}",0
10,True,"{'a': 0, 'e': 0}",20,2,-147.3476441832143,"{0: 8, 1: 1, 2: 7, 3: 0, 4: 2}",1
