trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-93.71523089192122,"{0: 16, 1: 2, 2: 6, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.9801986733067553}",25,0,-216.1912335879342,"{0: 11, 1: 5, 2: 4, 3: 2, 4: 3}",0
3,False,"{'a': 0.5, 'e': 0.9607894391523232}",25,0,-226.79904867470762,"{0: 12, 1: 2, 2: 5, 3: 3, 4: 3}",0
4,False,"{'a': 0.5, 'e': 0.9417645335842487}",30,0,-138.1300744099336,"{0: 21, 1: 0, 2: 6, 3: 1, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.9231163463866358}",20,0,-167.34894377328413,"{0: 10, 1: 0, 2: 6, 3: 2, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.9048374180359595}",25,0,-49.370051094230874,"{0: 19, 1: 2, 2: 2, 3: 2, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.8869204367171575}",30,0,-141.63639934357565,"{0: 19, 1: 4, 2: 4, 3: 1, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.8693582353988059}",20,0,-152.6339747856726,"{0: 10, 1: 3, 2: 3, 3: 2, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.8521437889662113}",25,0,-83.45719610765572,"{0: 20, 1: 1, 2: 2, 3: 0, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.835270211411272}",25,0,-136.49419167689842,"{0: 13, 1: 4, 2: 5, 3: 2, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.8187307530779818}",20,0,-108.92575948504684,"{0: 11, 1: 1, 2: 6, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.8025187979624785}",25,0,-150.92767742820388,"{0: 15, 1: 5, 2: 2, 3: 0, 4: 3}",0
13,False,"{'a': 0.5, 'e': 0.7866278610665535}",20,0,-90.91805191228455,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.7710515858035663}",25,0,-38.03426704608973,"{0: 17, 1: 4, 2: 4, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.7557837414557255}",20,0,-124.74685143213789,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",0
16,False,"{'a': 0.5, 'e': 0.7408182206817179}",20,0,-13.132614141568483,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.7261490370736909}",20,8,-11.439049137188965,"{0: 8, 1: 3, 2: 1, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.7117703227626097}",20,0,-32.47101222935887,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.697676326071031}",30,0,-116.03176035731788,"{0: 21, 1: 4, 2: 2, 3: 1, 4: 2}",0
20,False,"{'a': 0.5, 'e': 0.6838614092123558}",30,0,-120.19278682263052,"{0: 21, 1: 4, 2: 2, 3: 1, 4: 2}",0
21,False,"{'a': 0.5, 'e': 0.6703200460356393}",25,0,-63.282980019907,"{0: 17, 1: 2, 2: 5, 3: 1, 4: 0}",0
22,False,"{'a': 0.5, 'e': 0.6570468198150567}",20,0,-116.03837613614115,"{0: 11, 1: 4, 2: 3, 3: 0, 4: 2}",0
23,False,"{'a': 0.5, 'e': 0.6440364210831414}",20,0,-86.60171929494837,"{0: 14, 1: 0, 2: 3, 3: 2, 4: 1}",0
24,False,"{'a': 0.5, 'e': 0.631283645506926}",20,0,-30.905843633931834,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
25,False,"{'a': 0.5, 'e': 0.6187833918061408}",25,11,-26.138830028402026,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
26,False,"{'a': 0.5, 'e': 0.6065306597126334}",30,0,-126.69810836642681,"{0: 18, 1: 6, 2: 4, 3: 0, 4: 2}",0
27,False,"{'a': 0.5, 'e': 0.5945205479701944}",20,0,-22.306988381914593,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
28,False,"{'a': 0.5, 'e': 0.5827482523739896}",25,11,-21.95318088320379,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
29,False,"{'a': 0.5, 'e': 0.5712090638488149}",20,0,-143.4582340875583,"{0: 9, 1: 1, 2: 7, 3: 2, 4: 1}",0
30,False,"{'a': 0.5, 'e': 0.559898366565402}",20,0,-122.92339404954397,"{0: 13, 1: 0, 2: 4, 3: 1, 4: 2}",0
31,False,"{'a': 0.5, 'e': 0.5488116360940265}",25,0,-141.16719910942805,"{0: 17, 1: 2, 2: 3, 3: 0, 4: 3}",0
32,False,"{'a': 0.5, 'e': 0.5379444375946745}",20,0,-32.92682665709569,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
