trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-191.58989278891164,"{0: 14, 1: 0, 2: 7, 3: 1, 4: 3}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-85.9353170525912,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-52.42264773434935,"{0: 13, 1: 0, 2: 7, 3: 0, 4: 0}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-116.81293929250295,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-346.1508894077336,"{0: 11, 1: 0, 2: 6, 3: 1, 4: 7}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-63.07800977291628,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-144.0260570556834,"{0: 13, 1: 0, 2: 10, 3: 1, 4: 1}",0
8,False,"{'a': 0.5, 'e': 1.0}",35,0,-234.9555644527511,"{0: 22, 1: 0, 2: 7, 3: 3, 4: 3}",0
9,False,"{'a': 0.5, 'e': 1.0}",30,0,-154.65722462006212,"{0: 17, 1: 0, 2: 11, 3: 1, 4: 1}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-101.10714933556774,"{0: 10, 1: 0, 2: 9, 3: 1, 4: 0}",0
11,False,"{'a': 0.5, 'e': 1.0}",30,0,-203.32138766700473,"{0: 18, 1: 0, 2: 8, 3: 1, 4: 3}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,0,-213.42897463145107,"{0: 15, 1: 0, 2: 5, 3: 1, 4: 4}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,0,-122.6227473242067,"{0: 16, 1: 0, 2: 6, 3: 2, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-141.4267981971268,"{0: 13, 1: 0, 2: 10, 3: 1, 4: 1}",0
15,False,"{'a': 0.5, 'e': 1.0}",30,11,-72.1167732980082,"{0: 14, 1: 0, 2: 3, 3: 1, 4: 1}",1
16,False,"{'a': 0.5, 'e': 1.0}",25,0,-335.0175516213902,"{0: 11, 1: 0, 2: 6, 3: 2, 4: 6}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-198.93756921483947,"{0: 11, 1: 0, 2: 3, 3: 3, 4: 3}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-115.58348530396287,"{0: 10, 1: 0, 2: 9, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-82.29393788025158,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,6,-151.0492142188315,"{0: 8, 1: 0, 2: 2, 3: 1, 4: 3}",1
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-99.2929238869769,"{0: 10, 1: 0, 2: 9, 3: 1, 4: 0}",0
2,True,"{'a': 0.5, 'e': 1.0}",25,0,-154.8267235051422,"{0: 16, 1: 0, 2: 5, 3: 2, 4: 2}",0
3,True,"{'a': 0.5, 'e': 1.0}",30,0,-256.7324825012575,"{0: 16, 1: 0, 2: 8, 3: 2, 4: 4}",0
4,True,"{'a': 0.5, 'e': 1.0}",25,0,-274.2645335820212,"{0: 13, 1: 0, 2: 5, 3: 2, 4: 5}",0
5,True,"{'a': 0.5, 'e': 1.0}",25,0,-131.4070664440308,"{0: 15, 1: 0, 2: 7, 3: 2, 4: 1}",0
6,True,"{'a': 0.5, 'e': 1.0}",25,0,-114.87808260481319,"{0: 15, 1: 0, 2: 7, 3: 3, 4: 0}",0
7,True,"{'a': 0.5, 'e': 1.0}",30,0,-98.61519396263981,"{0: 21, 1: 0, 2: 6, 3: 3, 4: 0}",0
8,True,"{'a': 0.5, 'e': 1.0}",30,0,-257.50574201488206,"{0: 15, 1: 0, 2: 10, 3: 1, 4: 4}",0
9,True,"{'a': 0.5, 'e': 1.0}",30,0,-150.6707080117454,"{0: 17, 1: 0, 2: 11, 3: 1, 4: 1}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-123.84982649275503,"{0: 10, 1: 0, 2: 8, 3: 1, 4: 1}",0
